"YEAR","MONTH","SALES"
1992,1,3253
1992,2,3042
1992,3,3246
1992,4,3164
1992,5,3210
1992,6,3426
1992,7,3527
1992,8,3428
1992,9,3421
1992,10,3595
1992,11,3853
1992,12,5598
1993,1,3571
1993,2,3278
1993,3,3694
1993,4,3531
1993,5,3579
1993,6,3847
1993,7,4061
1993,8,4027
1993,9,4030
1993,10,4047
1993,11,4572
1993,12,6523
1994,1,4087
1994,2,3836
1994,3,4379
1994,4,4072
1994,5,4202
1994,6,4554
1994,7,4456
1994,8,4738
1994,9,4687
1994,10,4880
1994,11,5566
1994,12,7956
1995,1,4946
1995,2,4542
1995,3,5120
1995,4,4568
1995,5,4998
1995,6,5214
1995,7,4982
1995,8,5422
1995,9,5252
1995,10,5366
1995,11,6043
1995,12,8466
1996,1,5317
1996,2,5040
1996,3,5467
1996,4,5177
1996,5,5404
1996,6,5381
1996,7,5349
1996,8,5719
1996,9,5515
1996,10,5652
1996,11,6128
1996,12,8366
1997,1,5289
1997,2,5029
1997,3,5475
1997,4,5246
1997,5,5394
1997,6,5471
1997,7,5676
1997,8,5852
1997,9,5644
1997,10,5698
1997,11,6359
1997,12,9078
1998,1,5945
1998,2,5518
1998,3,5956
1998,4,5496
1998,5,5681
1998,6,6005
1998,7,6167
1998,8,6411
1998,9,6053
1998,10,6073
1998,11,6840
1998,12,9836
1999,1,6258
1999,2,5873
1999,3,6470
1999,4,5954
1999,5,6204
1999,6,6430
1999,7,6636
1999,8,6763
1999,9,6558
1999,10,6403
1999,11,7352
1999,12,11020
2000,1,6931
2000,2,6832
2000,3,7086
2000,4,6396
2000,5,6681
2000,6,6658
2000,7,6608
2000,8,7142
2000,9,6809
2000,10,6532
2000,11,7636
2000,12,11050
2001,1,6752
2001,2,6303
2001,3,6706
2001,4,5908
2001,5,6312
2001,6,6528
2001,7,6536
2001,8,7087
2001,9,6345
2001,10,6552
2001,11,8168
2001,12,12042
2002,1,7124
2002,2,6727
2002,3,7110
2002,4,6408
2002,5,6953
2002,6,7015
2002,7,6963
2002,8,7489
2002,9,6821
2002,10,7032
2002,11,8310
2002,12,12144
